id,audio,det_f1_0.5,fixed_f1_0.5,det_f1_3.0,fixed_f1_3.0,det_algorithm,det_candidates_recorded,det_sections_count
0001_12step,,,0.1667,,0.3333,,,
0003_6foot7foot,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0003_6foot7foot.wav,0.0,0.0,0.1667,0.4,heuristic,True,2
0004_abc,,,0.0,,0.0,,,
0005_again,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0005_again.wav,0.0,0.0,0.0,0.1429,heuristic,True,2
0006_aint2proud2beg,,,0.1667,,0.1667,,,
0008_america,,,0.0,,0.2353,,,
0009_americanmusic,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0009_americanmusic.wav,0.0,0.0,0.2222,0.1429,heuristic,True,2
0010_andjusticeforall,,,0.0,,0.0645,,,
0011_areyouexperienced,,,0.0,,0.125,,,
0012_aroundtheworld,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0012_aroundtheworld.wav,0.0,0.0,0.0,0.1818,heuristic,True,2
0013_athingaboutyou,,,0.0,,0.1176,,,
0014_babaoriley,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0014_babaoriley.wav,0.0,0.0,0.0,0.0,heuristic,True,2
0015_babygotback,,,0.0,,0.1667,,,
0017_badromance,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0017_badromance.wav,0.0,0.0,0.0,0.0,heuristic,True,3
0018_bassdownlow,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0018_bassdownlow.wav,0.2857,0.0,0.2857,0.0,heuristic,True,3
0020_becauseofyou,,,0.0,,0.1429,,,
0021_better,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0021_better.wav,0.0,0.1111,0.0,0.3333,heuristic,True,2
0022_betteroffalone,,,0.1667,,0.3333,,,
0023_bewareoftheboys,,,0.0,,0.0,,,
0024_billionaire,,,0.0,,0.0,,,
0026_blackandyellow,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0026_blackandyellow.wav,0.0,0.1818,0.0,0.1818,heuristic,True,2
0027_blackened,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0027_blackened.wav,0.0,0.0909,0.0,0.1818,heuristic,True,2
0028_blackmagic,,,0.0,,0.4286,,,
0030_bodymovin,,,0.0,,0.1667,,,
0032_boomboompow,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0032_boomboompow.wav,0.0,0.0,0.0,0.1538,heuristic,True,1
0035_boyfriend,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0035_boyfriend.wav,0.0,0.0,0.0,0.2857,heuristic,True,2
0036_breakingthegirl,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0036_breakingthegirl.wav,0.0,0.0,0.0,0.0,heuristic,True,2
0037_breakyourheart,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0037_breakyourheart.wav,0.0,0.0,0.5714,0.0,heuristic,True,3
0038_bringmetolife,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0038_bringmetolife.wav,0.0,0.0,0.0,0.3333,heuristic,True,2
0039_bulletproof,/Users/Matthew/lalomachine2/Lalo/data/audio/harmonix_0039_bulletproof.wav,0.0,0.4444,0.0,0.4444,heuristic,True,2
